Date,BCOMTR Index,LF98TRUU Index,LUACTRUU Index,LUATTRUU Index,SPXT Index
3/14/1997,166.896,,850.6,813.8,1047.09
3/17/1997,164.559,,850.26,813.56,1050.49
3/18/1997,165.363,,850,813.39,1042.52
3/19/1997,166.064,,849.14,812.74,1037.4
3/20/1997,166.969,,849.49,812.9,1033.34
3/21/1997,165.828,,849.74,812.98,1035.26
3/24/1997,164.55,,851.28,814.21,1044.25
3/25/1997,165.519,,849.83,813.07,1041.94
3/26/1997,165.134,,848.37,812.08,1044.08
3/27/1997,166.302,,843.49,808.49,1022.14
3/31/1997,166.108,472.25,842.74,808.74,1000
4/1/1997,166.142,,844.27,809.7,1003.33
4/2/1997,164.252,,844.94,810.18,990.93
4/3/1997,162.329,,845.62,810.67,991.21
